[13/Dec/2025:15:52:16 +0000] - 404 404 - GET https bankofarmenia.net "/favicon.ico" [Client 207.5.147.216] [Length 27] [Gzip -] [Sent-to backend-nodejs] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://bankofarmenia.net/"
[13/Dec/2025:15:52:19 +0000] - 200 200 - GET https bankofarmenia.net "/login" [Client 207.5.147.216] [Length 411] [Gzip 1.97] [Sent-to backend-nodejs] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://bankofarmenia.net/"
[13/Dec/2025:15:52:19 +0000] - 304 304 - GET https bankofarmenia.net "/styles.css" [Client 207.5.147.216] [Length 0] [Gzip -] [Sent-to backend-nodejs] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://bankofarmenia.net/login"
[13/Dec/2025:15:52:22 +0000] - 200 200 - GET https bankofarmenia.net "/register" [Client 207.5.147.216] [Length 483] [Gzip 2.44] [Sent-to backend-nodejs] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://bankofarmenia.net/login"
[13/Dec/2025:15:52:22 +0000] - 304 304 - GET https bankofarmenia.net "/styles.css" [Client 207.5.147.216] [Length 0] [Gzip -] [Sent-to backend-nodejs] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://bankofarmenia.net/register"
[13/Dec/2025:15:52:23 +0000] - 304 304 - GET https bankofarmenia.net "/login" [Client 207.5.147.216] [Length 0] [Gzip -] [Sent-to backend-nodejs] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://bankofarmenia.net/register"
[13/Dec/2025:15:52:23 +0000] - 304 304 - GET https bankofarmenia.net "/styles.css" [Client 207.5.147.216] [Length 0] [Gzip -] [Sent-to backend-nodejs] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://bankofarmenia.net/login"
[13/Dec/2025:15:53:30 +0000] - - 502 - GET https bankofarmenia.net "/" [Client 207.5.147.216] [Length 556] [Gzip -] [Sent-to backend-nodejs] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
[13/Dec/2025:16:22:54 +0000] - 404 404 - GET https bankofarmenia.net "/" [Client 207.5.147.216] [Length 139] [Gzip 1.09] [Sent-to backend-nodejs] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
[13/Dec/2025:16:23:39 +0000] - 404 404 - GET https bankofarmenia.net "/register" [Client 207.5.147.216] [Length 146] [Gzip 1.09] [Sent-to backend-nodejs] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
